timestamp,type,event_number,adc,elapsed_ms,dead_time_ms,temperature,pressure,detector_id
2026-09-05 11:57:39,B,4600,139,3244837,4997,28.7,1021.9,56-614-135
2026-09-05 11:57:40,T,3888,102,3245412,2342,28.7,1021.9,56-614-135
2026-09-05 11:57:41,T,3889,120,3245923,2343,28.7,1021.9,56-614-135
2026-09-05 11:57:41,T,3890,61,3245926,2343,28.7,1021.9,56-614-135
2026-09-05 11:57:41,T,3891,282,3246323,2343,28.7,1021.9,56-614-135
2026-09-05 11:57:42,T,3892,260,3247329,2344,28.7,1021.9,56-614-135
2026-09-05 11:57:43,B,4601,573,3248542,4998,28.7,1021.9,56-614-135
2026-09-05 11:57:44,T,3893,148,3249428,2344,28.7,1021.9,56-614-135
2026-09-05 11:57:45,B,4602,445,3250136,5001,28.7,1021.9,56-614-135
2026-09-05 11:57:45,B,4603,150,3250323,5001,28.7,1021.9,56-614-135
2026-09-05 11:57:46,B,4604,52,3251152,5002,28.7,1021.9,56-614-135
2026-09-05 11:57:46,B,4605,79,3251237,5002,28.7,1021.9,56-614-135
2026-09-05 11:57:46,T,3894,485,3251568,2346,28.7,1021.9,56-614-135
2026-09-05 11:57:46,T,3895,155,3251789,2346,28.7,1021.9,56-614-135
2026-09-05 11:57:46,T,3896,75,3251837,2346,28.7,1021.9,56-614-135
2026-09-05 11:57:47,B,4606,347,3252262,5006,28.7,1021.9,56-614-135
2026-09-05 11:57:47,B,4607,345,3252329,5006,28.7,1021.9,56-614-135
2026-09-05 11:57:47,B,4608,624,3252448,5006,28.7,1021.9,56-614-135
2026-09-05 11:57:47,T,3897,446,3252648,2347,28.7,1021.9,56-614-135
2026-09-05 11:57:48,B,4609,248,3252992,5008,28.7,1021.9,56-614-135
2026-09-05 11:57:51,T,3898,441,3255001,2348,28.7,1021.9,56-614-135
2026-09-05 11:57:51,B,4610,224,3255858,5009,28.7,1021.9,56-614-135
2026-09-05 11:57:51,B,4611,99,3255978,5009,28.7,1021.9,56-614-135
2026-09-05 11:57:52,T,3899,445,3256276,2350,28.7,1021.8,56-614-135
2026-09-05 11:57:52,B,4612,432,3256276,5012,28.7,1021.8,56-614-135
